Date,WY,WYNN,XEL,XLEFF,XOM,XYL,YUM,ZBH,ZION,ZTS
2013-01-02,20.88337135314941,103.0481185913086,20.47870445251465,0.0584999993443489,58.95418930053711,24.504323959350582,39.33657455444336,65.8398208618164,20.096921920776367,28.952980041503903
2013-01-03,20.438262939453125,95.82891845703124,20.9904842376709,0.0584999993443489,58.92887878417969,24.14779090881348,38.907012939453125,67.20197296142578,20.197555541992188,32.30482864379883
2013-01-04,21.65474510192871,101.27102661132812,21.83051300048828,0.096000000834465,59.81185531616211,23.936962127685547,42.462989807128906,67.5125961303711,20.81928443908692,30.42816925048828
2013-01-05,20.83223342895508,111.98262786865234,23.20322799682617,0.0869999974966049,57.66371536254883,24.156570434570312,40.53628921508789,67.66535949707031,20.31517219543457,31.23730659484864
2013-01-07,19.546804428100582,106.3703842163086,20.907310485839844,0.0869999974966049,59.91376876831055,24.386117935180664,42.10737228393555,67.5760269165039,24.694486618041992,28.636537551879883
2013-01-08,19.6928825378418,113.80622863769533,22.60611724853516,0.0869999974966049,61.52608489990234,22.216503143310547,44.51838302612305,76.10865020751953,25.36759757995605,28.27662849426269
2013-01-10,20.42773056030273,133.50521850585938,20.91991233825684,0.0869999974966049,57.45514678955078,25.02280616760254,43.120792388916016,74.4301528930664,23.55778694152832,29.795467376708984
2013-01-11,21.428579330444336,139.86895751953125,21.77056121826172,0.0869999974966049,60.007205963134766,29.558671951293945,41.46738815307617,79.37947082519531,23.94536018371582,29.912425994873047
2013-02-04,21.84136390686035,101.32860565185548,21.88216781616211,0.096000000834465,59.68666458129883,23.91061782836914,41.85440826416016,67.69231414794922,20.567228317260746,30.39082336425781
2013-02-05,20.90826416015625,112.31144714355467,23.13680458068848,0.0869999974966049,58.4017448425293,24.10386276245117,40.82413482666016,68.00685119628906,20.710050582885746,31.13440322875977
2013-02-07,19.85287857055664,104.4824447631836,20.959461212158203,0.0869999974966049,60.13935089111328,24.25382232666016,42.03541564941406,68.54914855957031,24.854347229003903,27.78520965576172
2013-02-08,19.46333312988281,115.80177307128906,22.62101936340332,0.0869999974966049,61.00853729248047,22.28706169128418,44.81357192993164,75.68513488769531,25.36759757995605,29.007923126220703
2013-02-10,20.38565254211425,134.57276916503906,20.89732551574707,0.0869999974966049,57.50856399536133,24.91647720336914,42.59065628051758,74.9810791015625,22.99327850341797,30.001739501953125
2013-02-12,20.90593147277832,140.76846313476562,21.017778396606445,0.0869999974966049,62.90421676635742,30.17262077331543,47.05651092529297,82.22447967529297,24.637495040893555,29.264196395874023
