,AAPL,ABC,AMZN,ANTM,BA,BAC,CAH,COST,CVS,CVX,DWDP,F,GE,GM,GOOGL,HD,JPM,KR,MCK,MSFT,PCAR,PSX,T,UNH,UNP,VZ,WBA,WFC,WMT,XOM
2023-03-31 09:30:00-04:00,162.52000427246094,159.99119567871094,102.0999984741211,,211.9727020263672,28.6200008392334,75.19000244140625,495.2550048828125,74.73999786376953,162.5,,12.444100379943848,94.4800033569336,36.439998626708984,101.33000183105469,287.260009765625,129.7899932861328,49.15999984741211,359.4100036621094,283.5299987792969,72.37000274658203,100.01000213623047,19.1299991607666,470.9200134277344,199.25,38.75,34.720001220703125,37.790000915527344,147.3300018310547,109.44000244140625
2023-03-31 09:31:00-04:00,162.41000366210938,160.86000061035156,102.3499984741211,,211.85000610351562,28.584999084472656,75.48999786376953,493.989990234375,74.69000244140625,162.5399932861328,,12.449999809265137,94.44999694824219,36.5,101.70999908447266,287.6700134277344,129.67999267578125,49.220001220703125,360.4599914550781,283.7950134277344,72.18000030517578,99.63999938964844,19.110000610351562,471.7099914550781,199.64999389648438,38.72999954223633,34.75,37.83000183105469,147.41000366210938,109.58999633789062
2023-03-31 09:32:00-04:00,162.49000549316406,,102.41999816894531,,212.52999877929688,28.58530044555664,75.66000366210938,494.0199890136719,74.58000183105469,163.0,,12.420000076293945,94.5999984741211,36.470001220703125,101.40689849853516,287.67999267578125,129.85000610351562,49.209999084472656,360.6700134277344,284.010009765625,72.33000183105469,99.83000183105469,19.110000610351562,471.6300048828125,199.30999755859375,38.720001220703125,34.73500061035156,37.72999954223633,147.4199981689453,109.94000244140625
2023-03-31 09:33:00-04:00,162.69000244140625,,102.52010345458984,,212.75,28.584999084472656,75.56999969482422,494.2799987792969,74.42500305175781,162.91000366210938,,12.404999732971191,94.58000183105469,36.33000183105469,101.55000305175781,287.67498779296875,129.76669311523438,49.15999984741211,361.260009765625,284.2099914550781,72.26000213623047,99.61499786376953,19.06999969482422,471.92999267578125,199.13999938964844,38.66999816894531,34.65999984741211,37.880001068115234,147.44000244140625,110.15989685058594
2023-03-31 09:34:00-04:00,163.02000427246094,,102.66999816894531,,212.80999755859375,28.55500030517578,75.62999725341797,495.31500244140625,74.4000015258789,162.76820373535156,,12.404999732971191,94.44999694824219,36.2400016784668,101.58499908447266,288.0950012207031,129.68499755859375,49.22999954223633,361.364990234375,284.1499938964844,72.2699966430664,99.4000015258789,19.06999969482422,471.9100036621094,199.07000732421875,38.69990158081055,34.689998626708984,37.737300872802734,147.59500122070312,109.95999908447266
2023-03-31 09:35:00-04:00,162.8101043701172,160.88290405273438,102.7667007446289,,213.4416961669922,28.549999237060547,75.41000366210938,495.6700134277344,74.31999969482422,162.6999969482422,,12.430000305175781,94.44000244140625,36.24599838256836,101.7300033569336,288.1300048828125,129.72000122070312,49.2599983215332,360.7650146484375,283.8900146484375,72.26000213623047,99.4000015258789,19.09000015258789,470.7099914550781,198.75999450683594,38.689998626708984,34.709999084472656,37.790000915527344,147.72999572753906,109.98999786376953
2023-03-31 09:36:00-04:00,162.83999633789062,,102.66999816894531,,213.39999389648438,28.53499984741211,75.50499725341797,495.9960021972656,74.41000366210938,162.7899932861328,,12.444999694824219,94.43009948730469,36.2599983215332,101.83999633789062,288.3450012207031,129.79330444335938,49.27000045776367,361.07000732421875,283.6600036621094,72.26000213623047,99.61000061035156,19.09000015258789,470.51251220703125,198.82000732421875,38.72999954223633,34.720001220703125,37.849998474121094,147.99000549316406,109.94000244140625
2023-03-31 09:37:00-04:00,162.85000610351562,160.6031036376953,102.68000030517578,,213.63999938964844,28.485000610351562,75.47000122070312,496.40240478515625,74.30999755859375,162.6199951171875,,12.435999870300293,94.4800033569336,36.22999954223633,101.62000274658203,288.54998779296875,129.57000732421875,49.2400016784668,360.75,283.739990234375,72.25,99.55500030517578,19.1200008392334,470.5199890136719,199.32000732421875,38.78499984741211,34.744998931884766,37.875,148.11000061035156,109.87999725341797
2023-03-31 09:38:00-04:00,162.77999877929688,160.35000610351562,102.69000244140625,,213.68499755859375,28.454999923706055,75.43000030517578,495.70208740234375,74.41809844970703,162.49000549316406,,12.4399995803833,94.51000213623047,36.220001220703125,101.4000015258789,288.8500061035156,129.3800048828125,49.2400016784668,360.5899963378906,283.6752014160156,72.23999786376953,99.29000091552734,19.094999313354492,470.6700134277344,199.1649932861328,38.775001525878906,34.689998626708984,37.85499954223633,148.0850067138672,109.72000122070312
2023-03-31 09:39:00-04:00,162.70989990234375,,102.72000122070312,,213.3800048828125,28.4906005859375,75.5,495.510009765625,74.45999908447266,162.49000549316406,,12.444999694824219,94.45999908447266,36.244998931884766,101.37799835205078,289.29998779296875,129.58999633789062,49.22999954223633,,283.6099853515625,72.16000366210938,99.30000305175781,19.084999084472656,470.8999938964844,199.44500732421875,38.795799255371094,34.72999954223633,37.8849983215332,148.0,109.77999877929688
2023-03-31 09:40:00-04:00,162.8000030517578,160.1199951171875,102.73999786376953,,213.8000030517578,28.479999542236328,75.33999633789062,495.6839904785156,74.45999908447266,162.50999450683594,,12.470000267028809,94.5,36.279998779296875,101.44000244140625,289.2200012207031,129.5399932861328,49.2599983215332,360.1300048828125,283.9212951660156,72.1500015258789,99.43000030517578,19.06999969482422,471.2200012207031,199.3800048828125,38.71500015258789,34.71500015258789,37.81999969482422,148.00990295410156,109.8499984741211
