Date,Date2,WY,WYNN,XEL,XLEFF,XOM,XYL,YUM,ZBH,ZION,ZTS,,,
01-06-2022,01-06-2022,38.11606216,65.12999725,74.09920502,0.192300007,96.12467957,83.25261688,118.2951508,118.7453232,55.16115952,166.3605652,,,
01-07-2013,01-07-2013,19.54680443,106.3703842,20.90731049,0.086999997,59.91376877,24.38611794,42.10737228,67.57602692,24.69448662,28.63653755,,,
01-07-2014,01-07-2014,23.25769234,181.6924286,24.84294319,0.086999997,69.12667847,35.0571022,49.86826706,95.36318207,24.95815277,30.68732262,,,
01-07-2015,01-07-2015,23.73551559,92.26058197,26.15730095,0.090000004,57.87903595,33.47061157,57.29351807,100.0782547,27.20372772,46.07047653,,,
01-07-2016,01-07-2016,23.33286285,84.11885071,37.33002853,0.060699999,68.3144989,41.45594406,53.42601776,111.5682907,21.41343307,45.58998871,,,
01-07-2019,01-07-2019,23.16898918,127.8425827,54.46743011,0.150099993,62.69727707,80.9678421,102.8431625,111.1740952,41.73427582,111.1829605,,,
01-07-2020,01-07-2020,20.20673752,73.79000092,60.37695313,0.112829998,37.92547607,61.8626976,82.64366913,113.9963913,30.32985878,135.0858459,,,
01-07-2021,01-07-2021,31.73563766,122.4000015,64.76732635,0.233999997,59.14414597,118.0925903,112.9509583,156.8289642,51.7154274,187.4499817,,,
01-07-2022,01-07-2022,33.61494446,58.18000031,72.15792084,0.192300007,86.01508331,78.28231049,115.6106796,107.030571,50.61036301,173.5221863,,,
01-08-2013,01-08-2013,19.69288254,113.8062286,22.60611725,0.086999997,61.5260849,22.21650314,44.51838303,76.10865021,25.36759758,28.27662849,,,
01-08-2014,01-08-2014,22.38329315,181.605957,24.0210495,0.086999997,67.38077545,31.3390522,43.28655243,90.56275177,23.99367142,30.90443039,,,
01-08-2016,01-08-2016,25.37022972,89.74571228,36.62977982,0.082000002,62.50516891,44.17223358,57.50002289,121.1645813,23.50149918,48.42435074,,,
01-08-2017,01-08-2017,26.73752594,119.6940994,40.96822357,0.079599999,60.49068451,55.53396988,68.86232758,112.1429825,39.33738708,60.28790283,,,
01-08-2018,01-08-2018,28.42731667,151.7303467,41.27829742,0.140000001,63.07641602,70.97090149,73.38105774,117.8900986,46.4333992,83.79245758,,,
01-08-2019,01-08-2019,21.96665955,119.7288284,55.68636703,0.150099993,59.33964157,75.59619141,109.8409119,130.3080597,38.68053818,113.4318314,,,
01-08-2022,01-08-2022,36.50357437,63.54000092,72.7142868,0.179370001,92.82360077,90.65836334,121.5838776,109.5150223,53.12216568,179.358902,,,
01-09-2015,01-09-2015,20.46446228,63.86203384,26.54362297,0.085000001,51.12245178,28.42848015,49.64779282,92.23400879,23.59762573,41.90915298,,,
01-09-2016,01-09-2016,24.68852997,85.81234741,34.40398026,0.082000002,63.75770187,46.71730804,58.36169052,118.6591797,26.34201622,49.10651779,,,
